series,masked_fraction,time_year
bin_amplitude,0,0.174904
bin_amplitude,0.05,0.184058
bin_amplitude,0.1,0.194346
bin_amplitude,0.15,0.205728
bin_amplitude,0.2,0.218606
bin_amplitude,0.25,0.233172
bin_amplitude,0.3,0.249865
bin_amplitude,0.35,0.268998
bin_amplitude,0.4,0.291433
bin_amplitude,0.45,0.318011
bin_amplitude,0.5,0.349803
bin_amplitude,0.55,0.388687
bin_amplitude,0.6,0.437207
bin_amplitude,0.65,0.499725
bin_amplitude,0.7,0.582861
bin_amplitude,0.75,0.699599
bin_amplitude,0.8,0.874404
bin_amplitude,0.85,1.16571
bin_amplitude,0.9,1.74879
bin_amplitude,0.95,3.49754
bin_amplitude,0.97,5.83025
dilation,0,0.314544
dilation,0.05,0.331147
dilation,0.1,0.349509
dilation,0.15,0.370135
dilation,0.2,0.393303
dilation,0.25,0.41951
dilation,0.3,0.449354
dilation,0.35,0.483966
dilation,0.4,0.524331
dilation,0.45,0.571906
dilation,0.5,0.629081
dilation,0.55,0.69901
dilation,0.6,0.786598
dilation,0.65,0.898699
dilation,0.7,1.04865
dilation,0.75,1.25815
dilation,0.8,1.57318
dilation,0.85,2.09728
dilation,0.9,3.14632
dilation,0.95,6.29258
dilation,0.97,10.485
survey_amplitude,0,0.0238374
survey_amplitude,0.05,0.0241918
survey_amplitude,0.1,0.0245514
survey_amplitude,0.15,0.0249164
survey_amplitude,0.2,0.0252761
survey_amplitude,0.25,0.0256411
survey_amplitude,0.3,0.0260113
survey_amplitude,0.35,0.0263757
survey_amplitude,0.4,0.0267453
survey_amplitude,0.45,0.0270971
survey_amplitude,0.5,0.0274536
survey_amplitude,0.55,0.0278031
survey_amplitude,0.6,0.0281451
survey_amplitude,0.65,0.0284673
survey_amplitude,0.7,0.028769
survey_amplitude,0.75,0.0290615
survey_amplitude,0.8,0.02932
survey_amplitude,0.85,0.0295434
survey_amplitude,0.9,0.0297433
survey_amplitude,0.95,0.0298942
survey_amplitude,0.97,0.029932
